#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2726/ccs	1644
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2739/ccs	958
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2752/ccs	659
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2792/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2802/ccs	712
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2880/ccs	426
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2920/ccs	803
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2933/ccs	738
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2947/ccs	504
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2985/ccs	817
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3005/ccs	1815
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3020/ccs	1221
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3044/ccs	748
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3087/ccs	563
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3105/ccs	1157
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3126/ccs	899
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3127/ccs	1169
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3132/ccs	559
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3145/ccs	460
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3154/ccs	533
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3155/ccs	609
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3185/ccs	504
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3187/ccs	667
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3193/ccs	874
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3206/ccs	1272
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3260/ccs	1318
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3269/ccs	560
